"obs","InvEventFK","InvCount","InvName","sitetaxa","newtaxa","sing_doub","uniq_dup"
"194",6430,"CBay13_0100",11,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"195",6470,"CBay13_1570",11,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"196",6492,"CBay13_0135",12,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"197",6515,"CBay13_0068",12,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"198",6527,"CBay13_0150",12,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"199",6542,"CBay13_1656",12,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"200",6548,"CBay13_1589",12,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"201",6552,"CBay13_1509",12,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"202",6586,"CBay13_0032",13,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"203",6666,"CBay13_0053",14,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"204",6735,"CBay13_0257",15,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"205",68,"CBay13_0153",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"206",6840,"CBay13_0005",17,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"207",6845,"CBay13_0052",17,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"208",6856,"CBay13_0342",17,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"209",6858,"CBay13_1580",17,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"210",6890,"CBay13_0349",18,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"211",6899,"CBay13_0308",18,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"212",6931,"CBay13_0008",18,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"213",6964,"CBay13_0031",19,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"214",6965,"CBay13_1600",19,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"215",6966,"CBay13_1521",19,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"216",6973,"CBay13_1649",19,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"217",6983,"CBay13_0155",20,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"218",7059,"CBay13_0129",22,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"219",7079,"CBay13_1554",22,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"220",7116,"CBay13_0139",24,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
